planet_id,planet_name,mass,radius,density,t_eq,flux,distance_to_star,period,habitable_score,star_name,temperature,st_rad,st_mass,st_metalicity,st_lum,st_spectral_type,st_subclass
KEPLER117CKEPLER117,Kepler-117 c,584.78,12.341,1.74,704.0,41.863,0.2804,50.790391,0.0,Kepler-117,6150.0,1.606,1.129,-0.04,0.53776,F,8.0
KEPLER117BKEPLER117,Kepler-117 b,29.875,8.059,0.3,984.0,157.541,0.1445,18.7959228,0.0,Kepler-117,6150.0,1.606,1.129,-0.04,0.53776,F,8.0
KEPLER1172BKEPLER1172,Kepler-1172 b,776.1323276277063,3.2,1.73,675.0,26.356,0.168,26.0204423,0.0,Kepler-1172,5558.0,0.89,0.92,-0.04,-0.16073,G,0.0
KEPLER1174BKEPLER1174,Kepler-1174 b,776.1323276277063,1.59,4.31,1156.0,641.814,0.0732,6.89225223,0.0,Kepler-1174,5936.0,1.04,1.04,-0.04,0.55531,G,0.0
KEPLER1175BKEPLER1175,Kepler-1175 b,776.1323276277063,2.99,1.9,515.0,12.938,0.2181,37.94563,0.0,Kepler-1175,5453.0,0.86,0.9,-0.04,-0.3398,G,0.0
KEPLER1184BKEPLER1184,Kepler-1184 b,776.1323276277063,2.68,2.18,529.0,18.039,0.2863,53.5991044,0.0,Kepler-1184,5983.0,1.07,1.05,-0.04,0.06532,G,0.0
KEPLER1185BKEPLER1185,Kepler-1185 b,776.1323276277063,1.33,5.44,355.0,9.31,0.4297,104.3518976,0.0,Kepler-1185,5622.0,0.87,0.96,-0.04,0.28187,G,0.0
KEPLER1205BKEPLER1205,Kepler-1205 b,776.1323276277063,1.41,5.04,1667.0,1038.493,0.0196,1.078390352,0.0,Kepler-1205,5226.0,0.81,0.84,-0.04,-0.41829,K,0.0
KEPLER1220BKEPLER1220,Kepler-1220 b,776.1323276277063,1.52,4.57,899.0,177.842,0.0734,7.42693741,0.0,Kepler-1220,5842.0,0.99,1.0,-0.04,0.02481,G,0.0
KEPLER1222BKEPLER1222,Kepler-1222 b,776.1323276277063,0.79,4.66,1246.0,416.231,0.02801,1.916944254,0.0,Kepler-1222,5239.0,0.8,0.84,-0.04,-0.45761,K,0.0
KEPLER1227BKEPLER1227,Kepler-1227 b,776.1323276277063,2.29,2.68,369.0,4.179,0.38555,94.2887577,0.0,Kepler-1227,5747.0,0.95,0.97,-0.04,-0.15834,G,0.0
KEPLER1251BKEPLER1251,Kepler-1251 b,776.1323276277063,1.84,3.56,487.0,13.78,0.2478,45.0904643,0.0,Kepler-1251,5545.0,0.89,0.92,-0.04,-0.15264,G,0.0
KEPLER1281BKEPLER1281,Kepler-1281 b,776.1323276277063,1.64,4.15,1123.0,375.55,0.0415,3.11602791,0.0,Kepler-1281,5353.0,0.83,0.87,-0.04,-0.292,G,0.0
KEPLER1291BKEPLER1291,Kepler-1291 b,776.1323276277063,1.66,4.07,739.0,62.823,0.0779,8.63043276,0.0,Kepler-1291,5216.0,0.8,0.84,-0.04,-0.46748,K,0.0
KEPLER1296BKEPLER1296,Kepler-1296 b,776.1323276277063,0.91,5.05,1285.0,399.015,0.0896,8.3839865,0.0,Kepler-1296,5359.0,0.83,0.87,-0.04,0.48615,G,0.0
KEPLER1297BKEPLER1297,Kepler-1297 b,776.1323276277063,0.97,5.24,1790.0,2760.593,0.0283,1.68189002,0.0,Kepler-1297,5818.0,0.99,0.99,-0.04,0.30193,G,0.0
KEPLER1333BKEPLER1333,Kepler-1333 b,776.1323276277063,2.81,2.06,428.0,3.298,0.4382,109.6471842,0.0,Kepler-1333,5628.0,0.92,0.94,-0.04,-0.18777,G,0.0
KEPLER1355BKEPLER1355,Kepler-1355 b,776.1323276277063,1.46,4.82,1448.0,944.873,0.0224,1.289588112,0.0,Kepler-1355,5352.0,0.83,0.88,-0.04,-0.32922,G,0.0
KEPLER1379BKEPLER1379,Kepler-1379 b,776.1323276277063,1.3,5.6,1564.0,1600.049,0.0171,0.881841146,0.0,Kepler-1379,5188.0,0.79,0.83,-0.04,-0.40329,K,0.0
KEPLER1411BKEPLER1411,Kepler-1411 b,776.1323276277063,2.82,2.05,441.0,8.927,0.4001,86.1150888,0.0,Kepler-1411,5664.0,0.92,0.95,-0.04,0.04081,G,0.0
KEPLER1461BKEPLER1461,Kepler-1461 b,776.1323276277063,2.03,3.14,451.0,8.88,0.1715,29.3494775,0.0,Kepler-1461,4919.0,0.74,0.79,-0.04,-0.64483,K,0.0
KEPLER1482BKEPLER1482,Kepler-1482 b,776.1323276277063,1.01,5.39,678.0,86.499,0.09968,12.25383217,0.0,Kepler-1482,5381.0,0.84,0.88,-0.04,-0.08288,G,0.0
KEPLER154EKEPLER154,Kepler-154 e,776.1323276277063,1.5,4.66,1140.0,480.405,0.04766,3.93276465,0.0,Kepler-154,5769.0,0.98,0.98,-0.04,0.03322,G,0.0
KEPLER154FKEPLER154,Kepler-154 f,776.1323276277063,1.5,4.66,838.0,139.884,0.08832,9.91935684,0.0,Kepler-154,5769.0,0.98,0.98,-0.04,0.03322,G,0.0
KEPLER154DKEPLER154,Kepler-154 d,776.1323276277063,3.84,1.37,657.0,53.002,0.14354,20.54981883,0.0,Kepler-154,5769.0,0.98,0.98,-0.04,0.03322,G,0.0
KEPLER1541BKEPLER1541,Kepler-1541 b,776.1323276277063,1.16,5.81,1048.0,75.56,0.07555,8.40691199,0.0,Kepler-1541,5282.0,0.81,0.86,-0.04,-0.33627,K,0.0
KEPLER1559BKEPLER1559,Kepler-1559 b,776.1323276277063,0.72,4.4,1609.0,1620.063,0.01835,0.971915428,0.0,Kepler-1559,5316.0,0.82,0.86,-0.04,-0.27638,G,0.0
